dataset,image_index,method,true_class,predicted_class,fidelity_threshold,spread_threshold,mean_intensity,robustness,runtime,save_path
CIFAR10,0,Grad-CAM,cat,cat,0.7382855415344238,0.2,0.4386014640331268,0.2562521994113922,1.280186891555786,results/resnet18/CIFAR10/CIFAR10_gradcam_image_0.png
CIFAR10,0,Grad-CAM++,cat,cat,0.4398438930511474,0.2,0.4368564486503601,0.2526896297931671,0.7238123416900635,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_0.png
CIFAR10,1,Grad-CAM,ship,ship,0.9892067313194276,0.2,0.4242138266563415,0.2433342635631561,0.0078315734863281,results/resnet18/CIFAR10/CIFAR10_gradcam_image_1.png
CIFAR10,1,Grad-CAM++,ship,ship,0.9855820536613464,0.2,0.4502962231636047,0.2299930155277252,0.0081081390380859,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_1.png
CIFAR10,2,Grad-CAM,ship,automobile,0.312942773103714,0.2,0.3465599715709686,0.2942935824394226,0.0079181194305419,results/resnet18/CIFAR10/CIFAR10_gradcam_image_2.png
CIFAR10,2,Grad-CAM++,ship,automobile,0.3188766837120056,0.2,0.4529825448989868,0.2745944559574127,0.0080969333648681,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_2.png
CIFAR10,3,Grad-CAM,airplane,ship,0.5867450833320618,0.2002734375,0.2936082780361175,0.3137149810791015,0.0078449249267578,results/resnet18/CIFAR10/CIFAR10_gradcam_image_3.png
CIFAR10,3,Grad-CAM++,airplane,ship,0.5814361572265625,0.2,0.4488951563835144,0.2573561072349548,0.008035659790039,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_3.png
CIFAR10,4,Grad-CAM,frog,frog,0.6895765066146851,0.2,0.4304259419441223,0.2665269076824188,0.0078861713409423,results/resnet18/CIFAR10/CIFAR10_gradcam_image_4.png
CIFAR10,4,Grad-CAM++,frog,frog,0.7065185308456421,0.2,0.4309565424919128,0.2654924392700195,0.0080957412719726,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_4.png
CIFAR10,5,Grad-CAM,frog,frog,0.9952186942100524,0.2,0.4414104521274566,0.2627363204956054,0.0078701972961425,results/resnet18/CIFAR10/CIFAR10_gradcam_image_5.png
CIFAR10,5,Grad-CAM++,frog,frog,0.9967838525772096,0.2,0.4323789179325104,0.2656916081905365,0.0080502033233642,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_5.png
CIFAR10,6,Grad-CAM,automobile,automobile,0.4780734777450561,0.2,0.4433406889438629,0.3060235679149627,0.0078163146972656,results/resnet18/CIFAR10/CIFAR10_gradcam_image_6.png
CIFAR10,6,Grad-CAM++,automobile,automobile,-0.0049906969070434,0.2,0.4982707500457763,0.2823336720466614,0.0081009864807128,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_6.png
CIFAR10,7,Grad-CAM,frog,frog,0.9968615174293518,0.2,0.4433514475822449,0.2623716294765472,0.0078897476196289,results/resnet18/CIFAR10/CIFAR10_gradcam_image_7.png
CIFAR10,7,Grad-CAM++,frog,frog,0.999034583568573,0.2,0.4251670837402344,0.2674041092395782,0.0080559253692626,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_7.png
CIFAR10,8,Grad-CAM,cat,cat,0.0012842416763305,0.2,0.4347505271434784,0.2537725865840912,0.007796287536621,results/resnet18/CIFAR10/CIFAR10_gradcam_image_8.png
CIFAR10,8,Grad-CAM++,cat,cat,0.0012948513031005,0.2,0.4362014830112457,0.2543888688087463,0.0080964565277099,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_8.png
CIFAR10,9,Grad-CAM,automobile,truck,0.9904308319091796,0.2,0.4885517954826355,0.2698638141155243,0.007871389389038,results/resnet18/CIFAR10/CIFAR10_gradcam_image_9.png
CIFAR10,9,Grad-CAM++,automobile,truck,0.9838557243347168,0.2,0.5014177560806274,0.2501919865608215,0.0081267356872558,results/resnet18/CIFAR10/CIFAR10_gradcampp_image_9.png
STL10,0,Grad-CAM,horse,horse,0.8478013277053833,0.2,0.4458451569080353,0.2643570005893707,0.0079655647277832,results/resnet18/STL10/STL10_gradcam_image_0.png
STL10,0,Grad-CAM++,horse,horse,0.8409693241119385,0.2,0.4358126819133758,0.2636254727840423,0.0080645084381103,results/resnet18/STL10/STL10_gradcampp_image_0.png
STL10,1,Grad-CAM,monkey,monkey,0.9871327877044678,0.2004296875,0.4297399222850799,0.2743135392665863,0.0078911781311035,results/resnet18/STL10/STL10_gradcam_image_1.png
STL10,1,Grad-CAM++,monkey,monkey,0.9872621297836304,0.2,0.4263948798179626,0.2659169137477875,0.0081043243408203,results/resnet18/STL10/STL10_gradcampp_image_1.png
STL10,2,Grad-CAM,dog,dog,0.7064612507820129,0.2,0.4124479591846466,0.2864810228347778,0.0079140663146972,results/resnet18/STL10/STL10_gradcam_image_2.png
STL10,2,Grad-CAM++,dog,dog,0.7069620490074158,0.2,0.4078227877616882,0.2750166952610016,0.00809907913208,results/resnet18/STL10/STL10_gradcampp_image_2.png
STL10,3,Grad-CAM,airplane,airplane,0.9395554065704346,0.2,0.4236489832401275,0.2748602032661438,0.0080723762512207,results/resnet18/STL10/STL10_gradcam_image_3.png
STL10,3,Grad-CAM++,airplane,airplane,0.8033000230789185,0.2,0.4270606935024261,0.275100976228714,0.0080671310424804,results/resnet18/STL10/STL10_gradcampp_image_3.png
STL10,4,Grad-CAM,cat,cat,0.99834406375885,0.2,0.4252659678459167,0.2567262351512909,0.008012056350708,results/resnet18/STL10/STL10_gradcam_image_4.png
STL10,4,Grad-CAM++,cat,cat,0.9981478452682496,0.2,0.3956458270549774,0.2627500295639038,0.0081098079681396,results/resnet18/STL10/STL10_gradcampp_image_4.png
STL10,5,Grad-CAM,bird,bird,1.33514404296875e-05,0.2,0.373657077550888,0.2335308343172073,0.0079596042633056,results/resnet18/STL10/STL10_gradcam_image_5.png
STL10,5,Grad-CAM++,bird,bird,-7.62939453125e-06,0.2,0.3563444912433624,0.235136330127716,0.0081303119659423,results/resnet18/STL10/STL10_gradcampp_image_5.png
STL10,6,Grad-CAM,bird,bird,0.6370061635971069,0.2,0.3514942526817322,0.2718054354190826,0.0078933238983154,results/resnet18/STL10/STL10_gradcam_image_6.png
STL10,6,Grad-CAM++,bird,bird,0.6430647969245911,0.2,0.399596631526947,0.2708894610404968,0.0083086490631103,results/resnet18/STL10/STL10_gradcampp_image_6.png
STL10,7,Grad-CAM,bird,bird,0.0001850724220275,0.2003125,0.391672134399414,0.2588454484939575,0.0078632831573486,results/resnet18/STL10/STL10_gradcam_image_7.png
STL10,7,Grad-CAM++,bird,bird,0.0002437233924865,0.2,0.3789934515953064,0.259321004152298,0.0080835819244384,results/resnet18/STL10/STL10_gradcampp_image_7.png
STL10,8,Grad-CAM,deer,deer,0.4714787006378174,0.2,0.3973823487758636,0.2612001597881317,0.0079503059387207,results/resnet18/STL10/STL10_gradcam_image_8.png
STL10,8,Grad-CAM++,deer,deer,0.4463140368461609,0.2,0.3714730739593506,0.2652175426483154,0.0080351829528808,results/resnet18/STL10/STL10_gradcampp_image_8.png
STL10,9,Grad-CAM,deer,deer,0.8861407041549683,0.2,0.3655532002449035,0.2785561680793762,0.0078380107879638,results/resnet18/STL10/STL10_gradcam_image_9.png
STL10,9,Grad-CAM++,deer,deer,0.9299111366271972,0.2005859375,0.3876197040081024,0.2794658839702606,0.0081007480621337,results/resnet18/STL10/STL10_gradcampp_image_9.png
