dataset,image_index,method,true_class,predicted_class,fidelity_threshold,spread_threshold,mean_intensity,robustness,runtime,save_path
CIFAR10,0,Grad-CAM,cat,cat,0.5154102444648743,1.0,0.0,0.0,1.2860641479492188,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_0.png
CIFAR10,0,Grad-CAM++,cat,cat,0.9306566119194032,0.2000868055555555,0.2485349476337433,0.154536634683609,0.7368884086608887,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_0.png
CIFAR10,1,Grad-CAM,ship,ship,0.852636456489563,1.0,0.0,0.0,0.0028703212738037,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_1.png
CIFAR10,1,Grad-CAM++,ship,ship,-0.0294985175132751,0.2000868055555555,0.3081065416336059,0.154544711112976,0.003080129623413,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_1.png
CIFAR10,2,Grad-CAM,ship,airplane,0.5457589030265808,1.0,0.0,0.0,0.0029139518737792,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_2.png
CIFAR10,2,Grad-CAM++,ship,airplane,0.5832985639572144,0.2000868055555555,0.2557704746723175,0.1740251630544662,0.0030980110168457,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_2.png
CIFAR10,3,Grad-CAM,airplane,airplane,0.7409464716911316,0.2004123263888889,0.0310679282993078,0.0967985764145851,0.0028700828552246,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_3.png
CIFAR10,3,Grad-CAM++,airplane,airplane,0.7289663553237915,0.2000868055555555,0.2187496125698089,0.1563963741064071,0.0032086372375488,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_3.png
CIFAR10,4,Grad-CAM,frog,deer,0.5243960618972778,1.0,0.0085026621818542,0.0488453209400177,0.0028636455535888,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_4.png
CIFAR10,4,Grad-CAM++,frog,deer,0.0183684825897216,0.2000868055555555,0.3022756278514862,0.1632078737020492,0.0030841827392578,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_4.png
CIFAR10,5,Grad-CAM,frog,frog,-6.4849853515625e-05,0.2000868055555555,0.0613154955208301,0.1065697744488716,0.0029120445251464,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_5.png
CIFAR10,5,Grad-CAM++,frog,frog,7.82012939453125e-05,0.2001953125,0.0479219406843185,0.1228089854121208,0.0030848979949951,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_5.png
CIFAR10,6,Grad-CAM,automobile,automobile,0.9967838525772096,1.0,0.0052113817073404,0.0462255403399467,0.0028748512268066,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_6.png
CIFAR10,6,Grad-CAM++,automobile,automobile,-0.0024635791778564,0.2000868055555555,0.3644340932369232,0.1524267047643661,0.0032052993774414,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_6.png
CIFAR10,7,Grad-CAM,frog,frog,0.1101333498954773,0.2000868055555555,0.205761432647705,0.1506384462118148,0.0028986930847167,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_7.png
CIFAR10,7,Grad-CAM++,frog,frog,0.2938994169235229,0.2000868055555555,0.1788765341043472,0.1986204534769058,0.0031244754791259,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_7.png
CIFAR10,8,Grad-CAM,cat,cat,0.3231160044670105,1.0,0.0,0.0,0.0029020309448242,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_8.png
CIFAR10,8,Grad-CAM++,cat,cat,-0.0320127010345459,0.2000868055555555,0.1398523896932602,0.1644947528839111,0.003061294555664,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_8.png
CIFAR10,9,Grad-CAM,automobile,automobile,0.924185574054718,1.0,0.0090783089399337,0.051307238638401,0.0028834342956542,results/tinycnn/CIFAR10/CIFAR10_gradcam_image_9.png
CIFAR10,9,Grad-CAM++,automobile,automobile,-0.0757529139518737,0.2000868055555555,0.4087390899658203,0.2039984166622162,0.0031414031982421,results/tinycnn/CIFAR10/CIFAR10_gradcampp_image_9.png
STL10,0,Grad-CAM,horse,horse,0.9961204528808594,1.0,0.0184702016413211,0.0732907131314277,0.0028843879699707,results/tinycnn/STL10/STL10_gradcam_image_0.png
STL10,0,Grad-CAM++,horse,horse,0.0006528496742248,0.2000868055555555,0.1850797683000564,0.188074842095375,0.0031437873840332,results/tinycnn/STL10/STL10_gradcampp_image_0.png
STL10,1,Grad-CAM,monkey,horse,0.9613351225852966,0.2000868055555555,0.0927072614431381,0.1397961378097534,0.0028584003448486,results/tinycnn/STL10/STL10_gradcam_image_1.png
STL10,1,Grad-CAM++,monkey,horse,0.1905498504638672,0.2000868055555555,0.2581166625022888,0.2032835632562637,0.0031046867370605,results/tinycnn/STL10/STL10_gradcampp_image_1.png
STL10,2,Grad-CAM,dog,monkey,0.2590558528900146,0.2000868055555555,0.0411293730139732,0.1225919052958488,0.0029559135437011,results/tinycnn/STL10/STL10_gradcam_image_2.png
STL10,2,Grad-CAM++,dog,monkey,0.2610134184360504,0.2000868055555555,0.2604156136512756,0.1671791225671768,0.0030393600463867,results/tinycnn/STL10/STL10_gradcampp_image_2.png
STL10,3,Grad-CAM,airplane,truck,0.6016497015953064,0.2000868055555555,0.1117228642106056,0.2258421033620834,0.0028777122497558,results/tinycnn/STL10/STL10_gradcam_image_3.png
STL10,3,Grad-CAM++,airplane,truck,0.5594977736473083,0.2000868055555555,0.252638965845108,0.2205671519041061,0.0030543804168701,results/tinycnn/STL10/STL10_gradcampp_image_3.png
STL10,4,Grad-CAM,cat,cat,0.7377554774284363,1.0,0.0149204153567552,0.0724169611930847,0.0028843879699707,results/tinycnn/STL10/STL10_gradcam_image_4.png
STL10,4,Grad-CAM++,cat,cat,0.5558491349220276,0.2000868055555555,0.2291102409362793,0.1617070585489273,0.0030412673950195,results/tinycnn/STL10/STL10_gradcampp_image_4.png
STL10,5,Grad-CAM,bird,monkey,-0.1392027735710144,0.2001953125,0.0891616642475128,0.1344930678606033,0.002864122390747,results/tinycnn/STL10/STL10_gradcam_image_5.png
STL10,5,Grad-CAM++,bird,monkey,0.8086758255958557,0.2000868055555555,0.1283383965492248,0.1427839696407318,0.0031683444976806,results/tinycnn/STL10/STL10_gradcampp_image_5.png
STL10,6,Grad-CAM,bird,bird,0.5763120651245117,0.2000868055555555,0.0446732193231582,0.1188407763838768,0.0029404163360595,results/tinycnn/STL10/STL10_gradcam_image_6.png
STL10,6,Grad-CAM++,bird,bird,0.5769339203834534,0.2000868055555555,0.1950810998678207,0.1810324937105178,0.0031280517578125,results/tinycnn/STL10/STL10_gradcampp_image_6.png
STL10,7,Grad-CAM,bird,cat,0.8601354956626892,1.0,0.0326532572507858,0.0968354567885398,0.0028824806213378,results/tinycnn/STL10/STL10_gradcam_image_7.png
STL10,7,Grad-CAM++,bird,cat,0.8375164270401001,0.2000868055555555,0.1565070748329162,0.1962817311286926,0.0031332969665527,results/tinycnn/STL10/STL10_gradcampp_image_7.png
STL10,8,Grad-CAM,deer,monkey,0.4076216220855713,1.0,0.0331896245479583,0.1161329001188278,0.0029177665710449,results/tinycnn/STL10/STL10_gradcam_image_8.png
STL10,8,Grad-CAM++,deer,monkey,0.308092713356018,0.2000868055555555,0.1758864223957061,0.1988079398870468,0.0031018257141113,results/tinycnn/STL10/STL10_gradcampp_image_8.png
STL10,9,Grad-CAM,deer,car,0.8676949739456177,0.2001953125,0.0642459020018577,0.1697361022233963,0.0029146671295166,results/tinycnn/STL10/STL10_gradcam_image_9.png
STL10,9,Grad-CAM++,deer,car,0.7117963433265686,0.2000868055555555,0.1484050452709198,0.1992266774177551,0.0031139850616455,results/tinycnn/STL10/STL10_gradcampp_image_9.png
